WKN,Basiswert,Typ,Bezugs-verhältnis,Basispreis,Bewertungs-tag,Hebel,Kurs Basiswert,Geld,Brief,Untertägige Auktion,Handeln
SY6V1W,Gold,Put,"10,000000:1","2240,000000 USD",19.12.2025 00:00:00,"1816,2985","3982,055 USD","0,0140","0,1900",-,-
SY6V1R,Gold,Put,"10,000000:1","2190,000000 USD",19.12.2025 00:00:00,"1816,2985","3982,055 USD","0,0140","0,1900",-,-
SY6V13,Gold,Put,"10,000000:1","2310,000000 USD",19.12.2025 00:00:00,"1816,2985","3982,055 USD","0,0140","0,1900",-,-
SY6V2L,Gold,Put,"10,000000:1","2480,000000 USD",19.12.2025 00:00:00,"1816,2985","3982,055 USD","0,0140","0,1900",-,-
SY6V2G,Gold,Put,"10,000000:1","2440,000000 USD",19.12.2025 00:00:00,"1815,9565","3982,055 USD","0,0130","0,1900",-,-
SY6V2Z,Gold,Put,"10,000000:1","2610,000000 USD",19.12.2025 00:00:00,"1816,3669","3982,055 USD","0,0140","0,1900",-,-
SX8S7C,Gold,Call,"10,000000:1","3920,000000 USD",19.12.2025 00:00:00,"26,7623","3982,055 USD","12,9900","12,9000",-,-
SX8S7Q,Gold,Put,"10,000000:1","3580,000000 USD",19.12.2025 00:00:00,"405,9553","3982,055 USD","0,7200","0,8500",-,-
SY99H1,Gold,Call,"10,000000:1","3120,000000 USD",19.12.2025 00:00:00,"4,5277","3982,055 USD","76,2900","76,2000",-,-
SX5ERL,Gold,Call,"10,000000:1","3560,000000 USD",19.12.2025 00:00:00,"8,8908","3982,055 USD","38,9300","38,8300",-,-
SX0RTW,Gold,Put,"10,000000:1","3040,000000 USD",19.12.2025 00:00:00,"1725,6568","3982,055 USD","0,0160","0,2000",-,-
FD0JT6,Gold,Put,"10,000000:1","3780,000000 USD",19.12.2025 00:00:00,"117,7449","3982,055 USD","2,8200","2,9300",-,-
SY6V1J,Gold,Put,"10,000000:1","2120,000000 USD",19.12.2025 00:00:00,"1816,3441","3982,055 USD","0,0140","0,1900",-,-
SY6V19,Gold,Put,"10,000000:1","2370,000000 USD",19.12.2025 00:00:00,"1816,3441","3982,055 USD","0,0140","0,1900",-,-
FA5UWU,Gold,Call,"10,000000:1","4100,000000 USD",19.12.2025 00:00:00,"60,8437","3982,055 USD","5,7100","5,6800",-,-
FD2T4S,Gold,Call,"10,000000:1","4620,000000 USD",19.12.2025 00:00:00,"486,0761","3982,055 USD","0,5900","0,7100",-,-
FD2T4X,Gold,Call,"10,000000:1","4720,000000 USD",19.12.2025 00:00:00,"676,7366","3982,055 USD","0,3700","0,5100",-,-
FD2T47,Gold,Call,"10,000000:1","4920,000000 USD",19.12.2025 00:00:00,"1113,2850","3982,055 USD","0,1600","0,3100",-,-
SX8S7J,Gold,Put,"10,000000:1","3460,000000 USD",19.12.2025 00:00:00,"802,5202","3982,055 USD","0,2800","0,4300",-,-
FD2T6G,Gold,Put,"10,000000:1","4700,000000 USD",19.12.2025 00:00:00,"5,5318","3982,055 USD","62,0000","62,3400",-,-
SX8S68,Gold,Call,"10,000000:1","3840,000000 USD",19.12.2025 00:00:00,"19,1117","3982,055 USD","18,1500","18,0600",-,-
SY6VX5,Gold,Call,"10,000000:1","2170,000000 USD",19.12.2025 00:00:00,"2,1819","3982,055 USD","158,1900","158,1200",-,-
SY6V0L,Gold,Put,"10,000000:1","1800,000000 USD",19.12.2025 00:00:00,"1816,3213","3982,055 USD","0,0140","0,1900",-,-
SY6V0G,Gold,Call,"10,000000:1","2960,000000 USD",19.12.2025 00:00:00,"3,8338","3982,055 USD","90,0800","90,0000",-,-
SY6V0Z,Gold,Put,"10,000000:1","1930,000000 USD",19.12.2025 00:00:00,"1816,3213","3982,055 USD","0,0140","0,1900",-,-
SY6V01,Gold,Put,"10,000000:1","1950,000000 USD",19.12.2025 00:00:00,"1816,3669","3982,055 USD","0,0140","0,1900",-,-
FD2T44,Gold,Call,"10,000000:1","4860,000000 USD",19.12.2025 00:00:00,"958,1447","3982,055 USD","0,2000","0,3600",-,-
SY6VZN,Gold,Call,"10,000000:1","2680,000000 USD",19.12.2025 00:00:00,"3,0228","3982,055 USD","114,2200","114,1400",-,-
SY6VZ6,Gold,Call,"10,000000:1","2860,000000 USD",19.12.2025 00:00:00,"3,4986","3982,055 USD","98,7000","98,6200",-,-
FD2T6D,Gold,Put,"10,000000:1","4640,000000 USD",19.12.2025 00:00:00,"6,0351","3982,055 USD","56,8100","57,1400",-,-
SX1BY5,Gold,Put,"10,000000:1","3180,000000 USD",19.12.2025 00:00:00,"1643,5239","3982,055 USD","0,0290","0,2100",-,-
SX1BYY,Gold,Call,"10,000000:1","3480,000000 USD",19.12.2025 00:00:00,"7,5920","3982,055 USD","45,5500","45,4500",-,-
SY6VYL,Gold,Call,"10,000000:1","2320,000000 USD",19.12.2025 00:00:00,"2,3760","3982,055 USD","145,2600","145,1800",-,-
SY6VYG,Gold,Call,"10,000000:1","2280,000000 USD",19.12.2025 00:00:00,"2,3209","3982,055 USD","148,7100","148,6300",-,-
SY6VYZ,Gold,Call,"10,000000:1","2450,000000 USD",19.12.2025 00:00:00,"2,5751","3982,055 USD","134,0500","133,9900",-,-
SY6VY8,Gold,Call,"10,000000:1","2540,000000 USD",19.12.2025 00:00:00,"2,7333","3982,055 USD","126,2900","126,2100",-,-
FA5N3S,Gold,Call,"10,000000:1","4040,000000 USD",19.12.2025 00:00:00,"42,1226","3982,055 USD","8,2600","8,2000",-,-
FD2T4Q,Gold,Call,"10,000000:1","4580,000000 USD",19.12.2025 00:00:00,"425,8848","3982,055 USD","0,7100","0,8100",-,-
FD2T4V,Gold,Call,"10,000000:1","4680,000000 USD",19.12.2025 00:00:00,"595,0242","3982,055 USD","0,4500","0,5800",-,-
FD2T45,Gold,Call,"10,000000:1","4880,000000 USD",19.12.2025 00:00:00,"1014,9138","3982,055 USD","0,1800","0,3400",-,-
SY6VZC,Gold,Call,"10,000000:1","2580,000000 USD",19.12.2025 00:00:00,"2,8103","3982,055 USD","122,8400","122,7600",-,-
SY6VZV,Gold,Call,"10,000000:1","2750,000000 USD",19.12.2025 00:00:00,"3,1914","3982,055 USD","108,1800","108,1000",-,-
SY6VZQ,Gold,Call,"10,000000:1","2700,000000 USD",19.12.2025 00:00:00,"3,0690","3982,055 USD","112,4900","112,4200",-,-
SY6VZ0,Gold,Call,"10,000000:1","2800,000000 USD",19.12.2025 00:00:00,"3,3238","3982,055 USD","103,8700","103,7900",-,-
SY6V2A,Gold,Put,"10,000000:1","2380,000000 USD",19.12.2025 00:00:00,"1816,3213","3982,055 USD","0,0110","0,1900",-,-
SY6V2Y,Gold,Put,"10,000000:1","2600,000000 USD",19.12.2025 00:00:00,"1816,2985","3982,055 USD","0,0140","0,1900",-,-
SY6V2T,Gold,Put,"10,000000:1","2550,000000 USD",19.12.2025 00:00:00,"1816,3441","3982,055 USD","0,0140","0,1900",-,-
FD2T6H,Gold,Put,"10,000000:1","4720,000000 USD",19.12.2025 00:00:00,"5,3835","3982,055 USD","63,7300","64,0600",-,-
SX8S7B,Gold,Call,"10,000000:1","3900,000000 USD",19.12.2025 00:00:00,"23,7744","3982,055 USD","14,6200","14,5300",-,-
SX8S7P,Gold,Put,"10,000000:1","3560,000000 USD",19.12.2025 00:00:00,"453,9264","3982,055 USD","0,6100","0,7500",-,-
SX1BY3,Gold,Put,"10,000000:1","3140,000000 USD",19.12.2025 00:00:00,"1725,3319","3982,055 USD","0,0240","0,2000",-,-
SX6EMW,Gold,Call,"10,000000:1","3760,000000 USD",19.12.2025 00:00:00,"14,7484","3982,055 USD","23,5000","23,4100",-,-
SX6EMR,Gold,Call,"10,000000:1","3660,000000 USD",19.12.2025 00:00:00,"11,1929","3982,055 USD","30,9500","30,8300",-,-
SY6VZK,Gold,Call,"10,000000:1","2650,000000 USD",19.12.2025 00:00:00,"2,9554","3982,055 USD","116,8100","116,7200",-,-
SY6VZF,Gold,Call,"10,000000:1","2610,000000 USD",19.12.2025 00:00:00,"2,8705","3982,055 USD","120,2500","120,1700",-,-
SY6VZ8,Gold,Call,"10,000000:1","2880,000000 USD",19.12.2025 00:00:00,"3,5602","3982,055 USD","96,9700","96,8900",-,-
SY7Y9K,Gold,Put,"10,000000:1","2680,000000 USD",19.12.2025 00:00:00,"1816,3213","3982,055 USD","0,0140","0,1900",-,-
FD2T6E,Gold,Put,"10,000000:1","4660,000000 USD",19.12.2025 00:00:00,"5,8578","3982,055 USD","58,5400","58,8800",-,-
