WKN,Basiswert,Typ,Bezugs-verhältnis,Basispreis,Bewertungs-tag,Hebel,Kurs Basiswert,Geld,Brief,Untertägige Auktion,Handeln
FD24CP,DAX 40,Put,"100,000000:1","23325,000000 PKT",07.11.2025 00:00:00,"6797,1299","23792,82 PKT","0,0330","0,0000",Mittagsauktion,-
FD24CU,DAX 40,Put,"100,000000:1","23450,000000 PKT",07.11.2025 00:00:00,"2734,5005","23792,82 PKT","0,0850","0,0000",Mittagsauktion,-
FD24CB,DAX 40,Put,"100,000000:1","23025,000000 PKT",07.11.2025 00:00:00,"118967,4259","23792,82 PKT","0,0020","0,0000",Mittagsauktion,-
FD24C4,DAX 40,Put,"100,000000:1","23700,000000 PKT",07.11.2025 00:00:00,"495,6698","23792,82 PKT","0,4700","0,0000",Mittagsauktion,-
FD24FG,DAX 40,Put,"100,000000:1","25700,000000 PKT",07.11.2025 00:00:00,"12,4688","23792,82 PKT","19,0600","0,0000",Mittagsauktion,-
FD24AZ,DAX 40,Put,"100,000000:1","21875,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24AG,DAX 40,Call,"100,000000:1","26250,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24AL,DAX 40,Call,"100,000000:1","26350,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD24A8,DAX 40,Put,"100,000000:1","22100,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD2384,DAX 40,Call,"100,000000:1","25100,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
FD238F,DAX 40,Call,"100,000000:1","24525,000000 PKT",07.11.2025 00:00:00,-,"23792,82 PKT","0,0010","0,0000",Mittagsauktion,-
